Round,City,Country,Circuit_Name,Date,Time,Weather,Track_Length,Laps,Added_Laps,Turns,Finish_Position,Driver,Driver_Age,Driver_Number,Nationality,Team,Powertrain,Starting_Position,Best_Lap_Time,Race_Time,Gap,Points
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,10,Dan Ticktum,24,#33,British,NIO 333 Racing,NIO 333 ER9,11,1:09:690,50:53:579,+ 0:13:275,1
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,11,Antonio Felix Da Costa,31,#13,Spanish,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,17,1:09:970,50:55:533,+ 0:15:229,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,12,Andre Lotterer,41,#36,German,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,18,1:09:876,50:55:927,+ 0:15:623,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,13,Nick Cassidy,28,#37,New Zealander,Envision Racing,Jaguar I-Type 6,15,1:09:233,50:57:342,+ 0:17:038,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,14,Norman Nato,30,#17,French,Nissan Formula E Team,Nissan e-4ORCE 04,19,1:10:237,50:59:873,+ 0:19:569,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,15,Lucas Di Grassi,38,#11,Brazilian,Mahindra Racing,Mahindra M9Electro,20,1:10:582,51:01:100,+ 0:20:796,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,16,Jean-Eric Vergne,33,#25,French,DS Penske,DS E-TENSE FE23,16,1:10:166,51:01:525,+ 0:21:221,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,17,Sergio Sette Camara,25,#3,Brazilian,NIO 333 Racing,NIO 333 ER9,13,1:10:577,51:02:547,+ 0:22:243,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,18,Kelvin Van Der Linde,27,#4,South African,ABT Cupra Formula E Team,Mahindra M9Electro,21,1:10:597,51:05:595,+ 0:25:291,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,19,Maximilian Gunther,25,#7,German,Maserati MSG Racing,Maserati Tipo Folgore,10,1:09:985,51:07:441,+ 0:27:137,0
